source,target,weight,chapter_count,chapters,sample_evidence,relation_definition
许褚,马超,8,2,58;59,"Chapter 58, P058-023: 却说曹操整兵已毕，分三停军，前渡渭河，比及人马到河内时，日光初起。操先发精兵渡过北岸，开创营寨。操自引亲随护卫军将百人，按剑坐于南岸，看军渡河。忽然人报：「后边白袍将军到了！」众皆认得是马超，一拥下船。河边军争上船者，声喧不止。操犹坐而不动，按剑指约休闹。只听得人喊马嘶，蜂拥而来，船上一将跃身上岸，呼曰：「贼至矣！请丞相下船！」操视之，乃许褚也。操口内犹言：「贼至何妨？」回头视之，马超已离不得百余步。许褚拖操下船时，船已离岸一丈有余，褚负操一跃上船。随行将士尽皆下水，扳住船边，争欲上船逃命。船小将翻，褚掣刀乱砍，船傍手尽折，倒于水中，急将船望下水棹去。许褚立于梢上，忙用不篙撑之。操伏在许褚脚边。马超赶到河岸，见船已流在半河，遂拈弓搭箭，喝令骁将遶河射之，矢如雨急。褚恐伤曹操，以左手举马鞍遮之。马超箭不虚发，船上驾舟之人，应弦落水；船中数十人皆被射倒。其船反撑不定，于急水中旋转。许褚独奋神威，将两腿夹舵摇撼，一手使篙撑船，一手举鞍遮护曹操。 || Chapter 58, P058-024: 时有渭南县令丁斐，在南山之上，见马超追操甚急，恐伤操命，遂将寨内牛只马匹，尽驱于外，漫山遍野，皆是牛马。西凉兵见之，都回身争取牛马，无心追赶，曹操因此得脱。方到北岸，便把船筏凿沉。诸将听得曹操在河中逃难，急来救时，操已登岸。许褚身被重铠，箭皆嵌在甲上。众将保操至野寨中，皆拜于地而问安。操大笑曰：「我今日几为小贼所困！」褚曰：「若非有人纵马放牛以诱贼，贼必努力渡河矣。」操问曰：「诱贼者谁也？」有知者答曰：「渭南县令丁斐也。」 || Chapter 58, P058-026: 却说马超回见韩遂，说：「几乎捉住曹操，有一将奋勇负操下船去了，不知何人。」遂曰：「吾闻曹操选极壮之人，为帐前侍卫，名曰『虎卫军』，以骁将典韦，许褚领之。典韦已死，今救曹操者，必许褚也。此人勇力过人，人皆称为『虎痴』；如遇之，不可轻敌。」超曰：「吾亦闻其名久矣。」遂曰：「今操渡河，将袭我后，可速攻之，不可令他创立营寨。若立营寨，急难剿除。」超曰：「以姪愚意，还只拒住北岸，使彼不得渡河，乃为上策。」遂曰：「贤姪守寨，吾引军循河战操，若何？」超曰：「令庞德为先锋，跟叔父前去。」",same_body_paragraph
诸葛亮,费祎,8,4,88;96;99;101,"Chapter 88, P088-009: 孔明曰：「这番生擒，如又不服，必无轻恕。」令左右去其绳索，仍前赐以酒食，列坐于帐上。孔明曰：「吾自出茅庐，战无不胜，攻无不取。汝蛮邦之人，何为不服？」获默然不答。孔明酒后，唤孟获同上马出寨，看视诸营寨栅所屯粮草，所积军器。孔明指谓获曰：「汝不降吾，真愚人也；吾有如此之精兵猛将，粮草器械，汝安能胜吾哉？汝若早降，吾当奏闻天子，令汝不先王位，子子孙孙，永镇蛮邦。意下若何？」获曰：「某虽肯降，怎奈洞中之人，未肯心服。若丞相肯再放回去，就当招安本部人马，同心合胆，方可归顺。」孔明欣然，又与孟获回到大寨，饮酒至晚。获辞去，孔明亲自送至泸水边，以船送获归寨。孟获来到本寨，先伏刀斧手于帐下，差心腹人到董荼那、阿会喃寨中，只推孔明有使命在，将二人赚到大寨帐下，尽皆杀之，弃尸于涧。孟获随即遣亲信之人，把守隘口，自引军出了夹山谷，要与马岱交战，却并不见一人；及问土人，皆言昨夜尽搬粮草复渡泸水，归大寨去了。获再回洞中，与亲弟孟优商议曰：「如今诸葛亮之虚实，吾已尽知，汝可去如此如此。」孟优领了兄计，引百余蛮兵，搬载金珠、宝贝、象牙、犀角之类，渡了泸水，迳投孔明大寨而来；方才过了河时，前面鼓角齐鸣，一彪军摆开，为首大将，乃马岱也。孟优大惊。岱问了来情，令在外厢，差人来报孔明。孔明正在帐中与马谡，吕凯，蒋琬，费祎等，共议平蛮之事，忽帐下一人，报称孟获差弟孟优来进宝贝。孔明回顾马谡曰；「汝知其来意否？」谡曰：「不敢明言。容某暗写于纸上，呈与丞相，看合钧意否？」孔明从之。马谡写讫，呈与孔明。孔明看毕，抚掌大笑曰：「擒孟获之计，吾已差派下也。汝之所见，正与吾同。」遂唤赵云入，向耳畔分付如此如此；又唤魏延入，亦低言分付；又唤王平、马忠、关索入，亦各密地分付。各人受了计策，皆依令而去，方召孟优入帐。优再拜于帐下曰：「家兄孟获，感丞相活命之恩，无可奉献，辄具金珠宝贝若干，权为赏军之资。续后别有贡天子礼物。」孔明曰：「汝兄今在何处？」优曰：「为感丞相大恩，迳往银坑山中收拾宝物去了，少时便回来也。」孔明曰：「汝带多少人来？」优曰：「不敢多带：只是随行百余人，皆运货物者。」孔明尽教入帐看时，皆是青眼黑面，黄发紫须，耳带金环，鬅头跣足，长力大之士。孔明就令随席而坐，教诸将劝酒，慇懃相待。 || Chapter 96, P096-009: 后主览毕曰﹕「胜负兵家常事，丞相何出此言？」侍中费祎奏曰﹕「臣闻治国者，必以奉法为重。法若不行，何以服人？丞相败绩，自行贬降，正其宜也。」后主从之，乃诏贬孔明为右将军，行丞相事，照旧总督军马，就令费祎诏到汉中。 || Chapter 96, P096-011: 费祎诸将皆服其论。费祎自回成都。孔明在汉中，惜军爱民，励兵讲武，置造攻城渡水之器，聚积粮草，预备战筏，以为后图。细作探知，报入洛阳。",same_body_paragraph
贾诩,郭汜,8,4,9;10;13;14,"Chapter 9, P009-025: 且说李傕，郭汜，张济，樊稠逃居陕西，使人至长安上表求赦。王允曰：「卓之跋扈，皆此四人助之；今虽大赦天下，独不赦此四人。」使者回报李傕。傕曰：「求赦不得，各自逃生可也。」谋士贾诩曰：「诸君若弃军单行，则一亭长能缚君矣。不若诱集陕人，并本部军马，杀入长安，与董卓报雠。事济，奉朝廷以正天下；若其不胜，走亦未迟。」 || Chapter 10, P010-004: 当下李傕，郭汜，张济，樊稠闻二军将至，一同商议御敌之策。谋士贾诩曰：「二军远来，只宜深沟高垒，坚守以拒之。不过百日，彼兵粮尽，必将自退，然后引兵追之，二将可擒矣。」李蒙、王方出曰：「此非好计。愿借精兵万人，立斩马腾、韩遂之头，献于麾下。」贾诩曰：「今若即战，必当败绩。」李蒙、王方齐声曰：「若吾二人败，情愿斩首；吾若战胜，公亦当输首级与我。」诩谓李傕、郭汜曰：「长安西二百里盩厔山，其路险崚，可使张、樊两将军屯兵于此，坚壁守之；待李蒙、王方自引兵迎敌，可也。」李傕、郭汜从其言，点一万五千人马与李蒙、王方。二人忻喜而去，离长安二百八十里下寨。西凉兵到，两个引军迎去。西凉军马拦路摆开阵势。马腾、韩遂联辔而出，指李蒙、王方骂曰：「反国之贼！谁去擒之？」 || Chapter 10, P010-007: 李傕、郭汜听知李蒙、王方皆被马超杀了，方信贾诩有先见之明，重用其计，只理会紧守关防，由他搦战，并不出迎。果然西凉军未及两月，粮草俱乏，商议回军。恰好长安城中马宇家僮出首家主与刘范、种邵，外连马腾、韩遂，欲为内应等情。李傕、郭汜大怒，尽收三家少良贱斩于市，把三颗首级，直来门前号令。",same_body_paragraph
赵云,邓芝,8,5,65;91;92;95;96,"Chapter 65, P065-027: 玄德从之，设一大宴，请刘璋收拾财物，佩领振威将军印绶，将妻子良贱，尽赴南郡公安住歇，即日起行。玄德自领益州牧，其所降文武，尽皆重赏，定拟名爵。严颜为前将军，法正为蜀郡太守，董和为掌军中郎将，许靖为左将军长史，庞义为营中司马，刘巴为左将军，黄权为右将军。其余吴懿，费观，彭羕，卓膺，李严，吴兰，雷同，李恢，张翼，秦宓，谯周，吕义，霍峻，邓芝，杨洪，周群，费袆，费诗，孟达，……文武投降官员，共六十余人，并皆擢用。诸葛亮军师，关云长为荡寇将军汉寿亭侯，张飞为征远将军新亭侯，赵云为镇远将军，黄忠为征西将军，魏延为扬武将军，马超为平西将军。孙干，简雍，糜竺、糜芳，刘封，关平，周仓，廖化，马良，马谡，蒋琬，伊籍，及旧日荆襄一班文武官员，尽皆升赏。遣使赍黄金五百斤，白银一千斤，钱五千万，蜀锦一千疋，赐与云长。其余官将，给赐有差。杀牛宰马，大饷士卒，开仓赈济百姓，军民大悦。 || Chapter 91, P091-025: 言未尽，一人应曰：「某虽不才，愿助老将军先引一军前去破敌。」孔明视之，乃邓芝也。孔明大喜，即拨精兵五千，副将十员，随赵云、邓芝去讫。孔明出师，后主引百官送于北门外十里。孔明辞后主，旌旗蔽野，戈戟如林，率军望汉中迤逦进发。 || Chapter 91, P091-026: 却说边庭探知此事，报入洛阳。是日曹叡设朝，近臣奏曰：「边官报称：诸葛亮率大兵三十余万，出屯汉中，令赵云、邓芝为前部先锋，引兵入境。」叡大惊，问群臣曰：「谁可为将，以退蜀兵？」忽一人应声而出曰：「臣父死于汉中，切齿之恨，未尝得报。今蜀兵犯境，臣愿引本部猛将，更乞陛下赐关西之兵，前往破蜀。上为国家效力，下报父雠，臣万死不恨！」",same_body_paragraph
邓芝,魏延,8,5,65;91;92;95;100,"Chapter 65, P065-027: 玄德从之，设一大宴，请刘璋收拾财物，佩领振威将军印绶，将妻子良贱，尽赴南郡公安住歇，即日起行。玄德自领益州牧，其所降文武，尽皆重赏，定拟名爵。严颜为前将军，法正为蜀郡太守，董和为掌军中郎将，许靖为左将军长史，庞义为营中司马，刘巴为左将军，黄权为右将军。其余吴懿，费观，彭羕，卓膺，李严，吴兰，雷同，李恢，张翼，秦宓，谯周，吕义，霍峻，邓芝，杨洪，周群，费袆，费诗，孟达，……文武投降官员，共六十余人，并皆擢用。诸葛亮军师，关云长为荡寇将军汉寿亭侯，张飞为征远将军新亭侯，赵云为镇远将军，黄忠为征西将军，魏延为扬武将军，马超为平西将军。孙干，简雍，糜竺、糜芳，刘封，关平，周仓，廖化，马良，马谡，蒋琬，伊籍，及旧日荆襄一班文武官员，尽皆升赏。遣使赍黄金五百斤，白银一千斤，钱五千万，蜀锦一千疋，赐与云长。其余官将，给赐有差。杀牛宰马，大饷士卒，开仓赈济百姓，军民大悦。 || Chapter 91, P091-023: 孔明受诏归府，唤诸将听令。前督部镇北将军领丞相司马、凉州刺史、都亭侯魏延，前军都督领伏风太守张翼，牙门将裨将军王平﹔后军领兵使安汉将军领建宁太守李恢，副将定远将军领汉中太守吕义，兼管运粮左军领兵使平北将军陈仓侯马岱，副将飞卫将军廖化，右军领兵使奋威将军博阳亭侯马忠，镇抚将军关内侯张嶷，行中军师车骑大将军都乡侯刘琰，中监军扬武将军邓芝，中参军安远将军马谡，前将军都亭侯袁琳，左将军高阳侯吴懿，右将军玄都侯高翔，后将军安乐侯吴班，领长史绥军将军杨仪，前将军征南将军刘巴，前护军偏将军、汉成亭侯许允，左护军笃信中郎将丁咸，右护军偏将军刘敏，后护军典军中郎将宫雝，行参军昭武中郎将胡济，行参军谏议将军阎晏，行参军偏将军爨习，行参军稗将军杜义，武略中郎将杜祺，绥军都尉盛敦，从事武略中郎将樊岐，典军书记樊建，丞相令史董厥，帐前左护卫使龙骧将军关兴，右护卫使虎翼将军张苞。──以上一应官员，都随著平北大都督丞相武乡侯领益州牧知内外事诸葛亮。 || Chapter 92, P092-004: 次日，夏侯楙复整金鼓旗旛，率兵而进。赵云、邓芝出迎。芝在马上谓赵云曰：「昨夜魏兵大败而走，今日复来，必有诈也，老将军防之。」子龙曰：「量此乳臭小儿，何足道哉！吾今日必当擒之！」便跃马而出，魏将潘遂出迎，战不三合，拨马便走。赵云赶去，魏阵中八员将一齐来迎。放过夏侯楙先走，八将陆续奔走。赵云乘势追杀，邓芝引兵继进。赵云深入重地，只听得四面喊声大震。邓芝急收军退回，左有董禧，右有薛则，两路兵杀到。邓芝兵少，不能解救。赵云被困在垓心，东冲西突，魏兵越厚。时云手下止有千余人，杀到山坡之下，只见夏侯楙在山上指挥三军。赵云投东则望东指，投西则望西指：因此赵云不能突围，乃引兵欲上山来。半山中擂木砲石打将下来，不能上山。赵云从辰时杀至酉时，不能得走出，只得下马少歇，且待月明再战。却才卸甲而坐，月光方出，忽四下火光冲天，鼓声大震，矢石如雨，魏兵杀到，皆叫曰：「赵云早降！」云急上马迎敌、四面军马渐渐逼近，八方弩箭交射甚急，人马皆不能向前。云仰天叹曰：「吾不服老，死于此地矣！」忽东北角上喊声大起，魏兵纷纷乱窜。一彪军杀到，为首大将持丈八点钢矛，马项下挂一颗人头，云视之，乃张苞也。苞见赵云，言曰：「丞相恐老将军有失，特遣某引军五千兵接应。闻老将军被困，故杀透重围。正遇魏将薛则，被某杀之。」云大喜，即与张苞杀出西北角来。只见魏兵弃戈奔走。一彪军从外呐喊杀入，为首大将提偃月青龙刀，手挽人头。云视之，乃关兴也。兴曰：「奉丞相之命，恐老将军有失，特引五千兵前来接应。却才阵上逢著魏将董禧，被吾一刀斩之，枭道在此。丞相随后便到也。」云曰：「二将军已建奇功，不趁今日擒住夏侯楙，以定大事？」张苞闻言，遂引兵去了。兴曰：「我也干功去。」亦引兵去了。云回顾左右曰：「他两个是吾子姪辈，尚且争先干功；吾乃国家上将，朝廷旧臣，反不如此小辈耶？吾当舍老命以报先帝之恩！」于是引兵来捉夏侯楙。当夜三路兵夹攻，大破魏军一阵。邓芝引兵接应，杀得尸横遍野，血流成河。夏侯楙乃无谋之人，更兼年幼，不曾经战；见军大乱，遂引帐下骁将百余人，望南安郡而走。众军因见无主，尽皆逃窜。兴、苞二将，闻夏侯楙望南安郡去了，连夜赶来。楙走入城中，紧闭城门，驱兵守御。兴、苞二人赶到，将城围住；赵云随后也到：三面攻打。少时，邓芝亦引兵到。一连围了十日，攻打不下。忽报丞相留后军住沔阳，左军屯阳平，右军屯石城，自引中军来到。赵云、邓芝郡关兴、张苞皆来拜问孔明，说连日攻城不下。孔明遂乘小车亲到城边周围看了一遍，回寨升帐而坐。众将环立听令。孔明曰：「此郡壕深成峻，不易攻也。吾正事不在此城，如汝等只久攻，倘魏兵分道而出，以取汉中，吾军危矣。」邓芝曰：「夏侯楙乃魏之驸马，若擒此人，胜斩百将。今困于此，岂可弃之而去？」孔明曰：「吾自有计。此处西连天水郡，北抵安定郡；二处太守，不知何人？」探卒答曰：「天水太守马遵，安定太守崔谅。」孔明大喜，乃唤魏延受计，如此如此；又唤关兴、张苞受计，如此如此；又唤心腹军士二人受计，如此行之。各将领命，引兵而去。孔明却在南安城外，令军运迆草堆于城下，口称烧城。魏兵闻知，皆大笑不惧。",same_body_paragraph
郭淮,魏延,8,6,93;94;95;101;102;103,"Chapter 93, P093-013: 却说孔明归帐，先唤赵云、魏延听令。孔明曰：「汝二人各引本部军去劫魏寨。」魏延进曰：「曹真深明兵法，必料我乘丧劫寨。他岂不隄防？」孔明笑曰：「吾正欲曹真知吾去劫寨也。彼必伏兵在祁山之后，待我兵过去，却来袭我寨；吾故令汝二人，引兵前去，过山脚后路，远下营寨，待魏兵来劫吾寨。汝看火起为号，分兵两路；文长拒住山口，子龙引兵杀回，必遇魏兵，却放彼走回，汝乘势攻之，彼必自相掩杀：可获全胜。」二将引兵受计而去。又唤关兴、张苞分付曰：「汝二人各引一军，伏于祁山要路；放过魏兵，却从魏兵来路，杀奔魏寨而去。」二人引兵受计去了。又令马岱、王平、张翼、张嶷四将，伏于寨外，四面迎击魏兵。孔明乃虚立寨栅，居中堆起柴草，以备火号；自引诸将退于寨后，以观动静。却说魏先锋曹遵、朱赞黄昏离寨，迤逦前进。二更左侧，遥望山前隐隐有兵行动。曹遵自思曰：「郭都督真神机妙算！」遂催兵急进。到蜀寨时，将及三更。曹遵先杀入寨，却是空寨，并无一人，料知中计，急撤军回，寨中火起。朱赞兵到，自相掩杀，人马大乱。曹遵与朱赞交马，方知自相践踏。急合兵时，忽四面喊声大震，王平、马岱、张嶷、张翼杀到。曹、朱二人引心腹军百余骑，望大路奔走。忽然鼓角齐鸣，一彪军截住去路；为首大将乃常山赵子龙也，大叫曰：「贼将那里去！早早受死！」曹、朱二人夺路而走。忽喊声又起，魏延又引一彪军杀到。曹、朱二人大败，夺路奔回本寨。守寨军士，只道蜀兵来劫寨，慌忙放起号火。左边曹真杀至，右边郭淮杀至，自相掩杀。背后三路蜀兵杀到：中央魏延，左边关兴，右边张苞，大杀一阵。魏兵败走十余里，魏将死者极多。孔明全获大胜，方始收兵。曹真、郭淮收拾败军回寨，商议曰：「今魏兵势孤，蜀兵势大，将何策以退之？」淮曰：「『胜负乃兵家常事』，不足为忧。某有一计，使蜀兵首尾不能相顾，定然自走矣。」正是： || Chapter 94, P094-005: 却说曹真连日望羌人消息，忽有伏路军来报说：蜀兵拔寨收拾起程。」郭淮大喜曰：「此因羌兵攻击，故尔退去。」遂分两路追赶。前面蜀兵乱走，魏兵随后追赶。先锋曹遵正赶之间，忽然鼓声大震，一彪军闪出；为首大将乃魏延也，大叫：「反贼休走！」曹遵大惊，拍马交锋；不三合，被魏延一刀斩于马下。副先锋朱赞引兵追赶，忽然一彪军闪出；为首大将乃赵云也。朱赞措手不及，被云一鎗刺死。曹真、郭淮见两路先锋有失，欲收兵回；背后喊声大震，鼓角齐鸣，关兴、张苞两路兵杀出，围了曹真、郭淮，痛杀一阵。曹、郭二人，引败兵冲路走脱。蜀兵全胜，直追到渭水，夺了魏寨。曹真折了两个先锋，哀伤不已；只得写本申朝，乞拨援兵。 || Chapter 95, P095-007: 却说王平见魏兵到，引军杀来，正遇张郃；战有数十余合，平力穷势孤，只得退去。魏兵自辰时困至戌时，山上无水，军不得食，寨中大乱。嚷到半夜时分，山南蜀兵大开寨门，下山降魏。马谡禁止不住。司马懿又令人于沿山放火，山上蜀兵愈乱。马谡料守不住，只得驱残兵杀下山西逃奔。司马懿放条大路，让过马谡。背后张郃引兵赶来。赶到三十余里，前面鼓角齐鸣，一彪军出，放过马谡，拦住张郃；视之，乃魏延也：挥刀纵马，直取张郃。郃回军便走。延驱兵赶来，复夺街亭。赶到五十余里，一声喊起，两边伏兵齐出：左边司马懿，右边司马昭，却抄在魏延背后，把延困在垓心。张郃复来，三路兵合在一处。魏延左冲右突，不得脱身，折兵大半。正危急间，忽一彪军杀入，乃王平也。延大喜曰：「吾得生矣！」二将合兵一处，大杀一阵，魏兵方退。二将慌忙奔回寨时，营中皆是魏兵旌旗。申耽、申仪从营中杀出。王平、魏延迳奔列柳城，来投高翔。此时高翔闻知街亭有失，尽起列柳城之兵，前来救应，正遇延、平二人，诉说前事。高翔曰：「不如今晚去劫魏寨，再复街亭。」当时三人在山坡下商议已定。待天色将晚，兵分三路。魏延引兵先进，迳到街亭，不见一人，心中大疑，不敢轻进，且伏在路口等候。忽见高翔兵到，二人共说魏兵不知在何处。正没理会，又不见王平兵到。忽然一声砲响，火光冲天，鼓声震地。魏兵齐出，把魏延、高翔围在垓心。二人尽力冲突，不得脱身。忽听得山坡后喊声若雷，一彪军杀入，乃是王平，救了高、魏二人，迳奔列柳城来。比及奔到城下时，城边早有一军杀到，旗上大书「魏都督郭淮」字样。原来郭淮与曹真商议，恐司马懿得了全功，乃分淮来取街亭；闻知司马懿、张郃成上此功，遂引兵迳袭列柳城。正遇三将，大杀一阵。蜀兵伤者极多。魏延恐阳平关有失，慌与王平、高翔望阳平关来。",same_body_paragraph
公孙瓒,董卓,7,3,5;7;120,"Chapter 5, P005-009: 且说北平太守公孙瓒，统领精兵一万五千，路经德州平原县。正行之间，遥见桑树丛中，一面黄旗，数骑来迎。瓒视之，乃刘玄德也。瓒问曰：「贤弟何故在此？」玄德曰：「旧日蒙兄保备为平原县令，今闻大军过此，特来奉候，就请兄长入城歇马。」瓒指关、张而问曰：「此何人也？」玄德曰：「此关羽，张飞，备结义兄弟也。」瓒曰：「乃同破黄巾者乎？」玄德曰：「皆此二人之力。」瓒曰：「今居何职？」玄德答曰：「关羽为马弓手，张飞为步弓手。」瓒叹曰：「如此可谓埋没英雄！今董卓作乱，天下诸侯，共往诛之。贤弟可弃此卑官，一同讨贼，力扶汉室，若何？」玄德曰：「愿往。」张飞曰：「当时若容我杀了此贼，免有今日之事。」云长曰：「事已至此，即当收拾前去。」 || Chapter 5, P005-010: 玄德、关、张引数骑跟公孙瓒来。曹操接著。众诸侯亦陆续皆至，各自安营下寨，连接二百余里。操乃宰牛杀马，大会诸侯，商议进兵之策。太守王匡曰：「今奉大义，必立盟主；众听约束，然后进兵。」操曰：「袁本初四世三公，门多故吏，汉朝名相之裔，可为盟主。」绍再三推辞。众皆曰：「非本初不可。」绍方应允。次日筑台三层，遍列五方旗帜，上建白旄黄钺，兵符将印，请绍登坛。绍整衣佩剑，慨然而上，焚香再拜。其盟曰：汉室不幸，皇纲失统。贼臣董卓，乘衅纵害，祸加至尊，虐流百姓。绍等惧社稷沦丧，纠合义兵，并赴国难。凡我同盟，齐心戮力，以致臣节，必无二志。有渝此盟，俾坠其命，无克遗育。皇天后土，祖宗明灵，实皆鉴之！ || Chapter 5, P005-019: 曹操大喜。只见玄德背后转出张飞，高声大叫：「俺哥哥斩了华雄，不就这里杀入关去，活拏董卓，更待何时！」袁术大怒，喝曰：「俺大臣尚自谦让，量一县令手下小卒，安敢在此耀武扬威！都与赶出帐去！」曹操曰：「得功者赏，何计贵贱乎？」袁术曰：「既然公等只重一县令，我当告退。」操曰：「岂可因一言而误大事耶？」命公孙瓒且带玄德、关、张回寨。众官皆散。曹操暗使人赍牛酒抚慰三人。却说华雄手下败军，报上关来。李肃慌忙写告急文书，申闻董卓。卓急聚李儒、吕布等商议。儒曰：「今失了上将华雄，贼势浩大。袁绍为盟主，绍叔袁隗，现为太傅；倘或里应外合，深为不便，可先除之。请丞相亲领大军，分拨剿捕。」",same_body_paragraph
关羽,陆逊,7,3,75;76;83,"Chapter 75, P075-015: 蒙惊谢曰：「伯言之语，如见我肺腑。愿闻良策。」陆逊曰：「云长倚恃英雄，自料无敌，所虑者惟将军耳。将军乘此机会，托疾辞职，以陆口之任让之他人，使他人卑辞赞美关公，以骄其心，彼必尽撤荆州之兵，以向樊城；若荆州无备，用一旅之师，别出奇计以袭之，则荆州在掌握之中矣。」蒙大喜曰：「真良策也！」 || Chapter 75, P075-016: 由是吕蒙托病不起，上书辞职。陆逊回见孙权，具言前计。孙权乃召吕蒙还建业养病。蒙至，入见权。权问曰：「陆口之任，昔周公瑾荐鲁子敬以自代；后子敬又荐卿自代；今卿亦须荐一才望兼隆者，代卿为妙。」蒙曰：「若用望重之人，云长必然防备。陆逊意思深长，而未有远名，非云长所忌；若即用以代臣之任，必有所济。」 || Chapter 75, P075-017: 权大喜，即日拜陆逊为偏将军右都督，代蒙守陆口。逊谢曰：「某年幼无学，恐不堪大任。」权曰：「子明保卿，必不差错。卿毋得推辞。」逊乃拜受印绶，连夜往陆口；交割马步水三军已毕，即修书一封，具名马、异锦、酒礼等物，遣使赍赴樊城见关公。",same_body_paragraph
关羽,陈登,7,5,11;17;21;22;24,"Chapter 11, P011-021: 且说来使回徐州，入城见陶谦，呈上书札，言曹兵已退。谦大喜，差人请孔融，田楷，云长，子龙等赴城大会。饮宴既毕，谦延玄德于上座，拱手对众曰：「老夫年迈，二子不才，不堪国家重任。刘公乃帝室之胄，德广才高，可领徐州。老夫情愿乞闲养病。」玄德曰：「孔文举令备来救徐州，为义也；今无端据而有之，天下将以备为无义人矣。」糜竺曰：「今汉室陵迟，海宇颠覆，树功立业，正在此时。徐州殷富，户口百万，刘使君领此，不可辞也。」玄德曰：「此事决不敢应命。」陈登曰：「陶府君多病，不能视事，明公勿辞。」玄德曰：「袁公路四世三公，海内所归，近在寿春，何不以州让之？」孔融曰：「袁公路冢中枯骨，何足挂齿！今日之事，天与不取，悔不可追。」 || Chapter 17, P017-009: 吕布得胜，邀请云长并杨奉、韩暹等一行人马到徐州，大排筵宴款待。军士都有犒赏。次日，云长辞归。布保韩暹为沂都牧。杨奉为瑯琊牧，商议欲留二人在徐州。陈珪曰：「不可。韩、杨二人据山东。不出一年，则山东城郭皆属将军也。」布然之，遂送二将暂于沂都、瑯琊二处屯﹝左答右刀﹞，以候恩命。陈登私问父曰：「何不留二人在徐州，为杀吕布之根？」珪曰：「倘二人协助吕布，是反为虎添爪牙也。」登乃服父之高见。 || Chapter 21, P021-027: 张飞听得，便要去厮杀。云长曰：「他伏瓮城边待我，去必有失。我有一计，可杀车胄：乘夜扮入曹军到徐州，引车胄出迎，袭而杀之。」飞然其言。那部下军原有曹操旗号，衣甲都同。当夜三更，到城叫门。城上问是谁，众应是曹丞相差张文远的人马。报知车胄，胄急请陈登议曰：「若不迎接，诚有疑；若出迎之，又恐有诈。」胄乃上城回言：「黑夜难以分辨，待明早相见。」城下答应：「只恐刘备知道，疾快开门！」",same_body_paragraph
刘备,司马懿,7,6,39;67;73;77;78;106,"Chapter 39, P039-017: 却说曹操罢三公之职，自以丞相兼之，以毛玠为东曹掾；崔琰为西曹掾；司马懿为文学掾。懿字仲达，河内温人也：颍川太守司马隽之孙，京兆尹司马防之子，主簿司马朗之弟也。自是文官大备，乃聚武将商议南征。夏侯惇进曰：「近闻刘备在新野，每日教演士卒，必为后患，可早图之。」 || Chapter 67, P067-019: 曹操已得东川。主簿司马懿进曰：「刘备以诈力取刘璋、蜀人尚未归心。今主公已得汉中，益州震动。可速进兵攻之，势必瓦解。知者贵于乘时，时不可失也。」曹操叹曰：「人苦不知足，既得陇，复望蜀耶﹖」刘晔曰：「司马仲达之言是也。若少迟缓，诸葛亮明于治国而为相，关张等勇冠三军而为将，蜀民既定，据守关隘，不可犯矣。」操曰：「士卒远涉劳苦，且宜存恤。」遂按兵不动。 || Chapter 73, P073-013: 操视其人，乃司马懿也。操喜问曰：「仲达有何高见？」懿曰：「江东孙权以妹嫁刘备，而又乘间窃取回去；刘备又据占荆州不还；彼此俱有切齿之恨。今可差一舌辩之士，赍书往说孙权，使兴兵取荆州，刘备必发两川之兵来救荆州。那时大王兴兵去取汉川，令刘备首尾不能相救，势必危矣。」",same_body_paragraph
